EventName,Time,ActmemExtReads,ActmemExtWrites,ActmemIntReads,ActmemIntWrites,FLReads,FLWrites,SeqAccWeightWrites,SeqAccOperations,SeqAccMacs,WQWrites,WQReads
featuresfeatures0features00Conv_quant,           271800000,0,768,783,256,0,783,2048,256,2048,256,256
featuresfeatures1convconv0conv00Conv_quant,           370840000,0,768,3093,512,0,3093,2048,256,2048,512,512
featuresfeatures1convconv1Conv_quant,           668100000,0,768,3364,768,0,3364,4096,512,4096,768,768
featuresfeatures2convconv0conv00Conv_quant,           944920000,0,768,3637,1536,0,3637,6144,768,6144,1536,1536
split_4_qconv_0,          1289760000,6145,2816,5947,1792,0,5947,6144,768,6144,1792,1792
split_4_qconv_1,          1470760000,8194,4864,8257,2048,0,8257,6144,768,6144,2048,2048
split_4_qconv_2,          1651760000,10243,6912,10567,2304,0,10567,6144,768,6144,2304,2304
featuresfeatures2convconv2Conv_quant,          1908180000,12292,13056,11350,2560,0,11350,6144,1024,8192,2560,2560
featuresfeatures3convconv0conv00Conv_quant,          2256580000,13829,13056,11617,3835,0,11617,8192,1280,10240,3835,3835
split_7_qconv_0,          2724300000,23046,15104,13927,4091,0,13927,8192,1280,10240,4091,4091
split_7_qconv_1,          2905300000,25095,17152,16237,4347,0,16237,8192,1280,10240,4347,4347
split_7_qconv_2,          3086300000,27144,19200,18547,4603,0,18547,8192,1280,10240,4603,4603
split_7_qconv_3,          3267300000,29193,21248,20857,4859,0,20857,8192,1280,10240,4859,4859
split_7_qconv_4,          3412460000,31242,22272,22399,5115,0,22399,8192,1280,10240,5115,5115
featuresfeatures3convconv2Conv_quant,          3894160000,32267,31488,23694,5371,0,23694,10240,1536,12288,5371,5371
featuresfeatures4convconv0conv00Conv_quant,          4242580000,33804,33024,23961,6646,0,23961,12288,1792,14336,6646,6646
split_10_qconv_0,          4675740000,43021,35072,24543,6710,0,24543,12288,1792,14336,6710,6710
split_10_qconv_1,          4760740000,43534,37120,25125,6774,0,25125,12288,1792,14336,6774,6774
split_10_qconv_2,          4845740000,44047,39168,25707,6838,0,25707,12288,1792,14336,6838,6838
split_10_qconv_3,          4930740000,44560,41216,26289,6902,0,26289,12288,1792,14336,6902,6902
split_10_qconv_4,          4991420000,45073,42240,26679,6966,0,26679,12288,1792,14336,6966,6966
featuresfeatures4convconv2Conv_quant,          5273440000,45330,44544,27014,7030,0,27014,14336,1856,14848,7030,7030
featuresfeatures5convconv0conv00Conv_quant,          5529700000,45843,44544,27090,7409,0,27090,16384,1920,15360,7414,7409
split_13_qconv_0,          5686380000,48916,45056,27672,7478,0,27672,16384,1920,15360,7478,7478
split_13_qconv_1,          5740660000,49429,45568,28254,7542,0,28254,16384,1920,15360,7542,7542
split_13_qconv_2,          5794940000,49942,46080,28836,7606,0,28836,16384,1920,15360,7606,7606
split_13_qconv_3,          5849220000,50455,46592,29418,7670,0,29418,16384,1920,15360,7670,7670
split_13_qconv_4,          5903500000,50968,47104,30000,7734,0,30000,16384,1920,15360,7734,7734
split_13_qconv_5,          5957780000,51481,47616,30582,7798,0,30582,16384,1920,15360,7798,7798
featuresfeatures5convconv2Conv_quant,          6265420000,51994,50688,30981,7862,0,30981,18432,1984,15872,7862,7862
featuresfeatures6convconv0conv00Conv_quant,          6521700000,52507,51200,31057,8241,0,31057,20480,2048,16384,8246,8241
split_16_qconv_0,          6678380000,55580,51712,31639,8310,0,31639,20480,2048,16384,8310,8310
split_16_qconv_1,          6732660000,56093,52224,32221,8374,0,32221,20480,2048,16384,8374,8374
split_16_qconv_2,          6786940000,56606,52736,32803,8438,0,32803,20480,2048,16384,8438,8438
split_16_qconv_3,          6841220000,57119,53248,33385,8502,0,33385,20480,2048,16384,8502,8502
split_16_qconv_4,          6895500000,57632,53760,33967,8566,0,33967,20480,2048,16384,8566,8566
split_16_qconv_5,          6949780000,58145,54272,34549,8630,0,34549,20480,2048,16384,8630,8630
featuresfeatures6convconv2Conv_quant,          7257420000,58658,57344,34948,8694,0,34948,22528,2112,16896,8694,8694
featuresfeatures7convconv0conv00Conv_quant,          7513700000,59171,57856,35024,9073,0,35024,24576,2176,17408,9078,9073
split_19_qconv_0,          7670380000,62244,58368,35606,9142,0,35606,24576,2176,17408,9142,9142
split_19_qconv_1,          7724660000,62757,58880,36188,9206,0,36188,24576,2176,17408,9206,9206
split_19_qconv_2,          7778940000,63270,59392,36770,9270,0,36770,24576,2176,17408,9270,9270
split_19_qconv_3,          7833220000,63783,59904,37352,9334,0,37352,24576,2176,17408,9334,9334
split_19_qconv_4,          7887500000,64296,60416,37934,9398,0,37934,24576,2176,17408,9398,9398
split_19_qconv_5,          7941780000,64809,60928,38516,9462,0,38516,24576,2176,17408,9462,9462
featuresfeatures7convconv2Conv_quant,          8249440000,65322,64000,38916,9590,0,38916,26624,2240,17920,9590,9590
split_21_qconv_0,          8536640000,66347,64000,39066,10102,0,39066,28672,2304,18432,10102,10102
split_21_qconv_1,          8946480000,70444,64000,39204,10354,0,39204,30720,2368,18944,10354,10354
split_22_qconv_0,          9062200000,72493,64512,39786,10418,0,39786,30720,2368,18944,10418,10418
split_22_qconv_1,          9116480000,73006,65024,40368,10482,0,40368,30720,2368,18944,10482,10482
split_22_qconv_2,          9170760000,73519,65536,40950,10546,0,40950,30720,2368,18944,10546,10546
split_22_qconv_3,          9225040000,74032,66048,41532,10610,0,41532,30720,2368,18944,10610,10610
split_22_qconv_4,          9279320000,74545,66560,42114,10674,0,42114,30720,2368,18944,10674,10674
split_22_qconv_5,          9333600000,75058,67072,42696,10738,0,42696,30720,2368,18944,10738,10738
split_22_qconv_6,          9387880000,75571,67584,43278,10802,0,43278,30720,2368,18944,10802,10802
split_22_qconv_7,          9442160000,76084,68096,43860,10866,0,43860,30720,2368,18944,10866,10866
split_22_qconv_8,          9496440000,76597,68608,44442,10930,0,44442,30720,2368,18944,10930,10930
split_22_qconv_9,          9550720000,77110,69120,45024,10994,0,45024,30720,2368,18944,10994,10994
split_22_qconv_10,          9605000000,77623,69632,45606,11058,0,45606,30720,2368,18944,11058,11058
split_22_qconv_11,          9659280000,78136,70144,46188,11122,0,46188,30720,2368,18944,11122,11122
split_23_qconv_0,          9987460000,78649,74240,46716,11250,0,46716,32768,2432,19456,11250,11250
split_23_qconv_1,         10295080000,79674,76288,46988,11378,0,46988,34816,2496,19968,11378,11378
split_24_qconv_0,         10582300000,80699,77312,47138,11890,0,47138,36864,2560,20480,11890,11890
split_24_qconv_1,         10992160000,84796,78336,47276,12142,0,47276,38912,2624,20992,12142,12142
split_25_qconv_0,         11107880000,86845,78848,47858,12206,0,47858,38912,2624,20992,12206,12206
split_25_qconv_1,         11162160000,87358,79360,48440,12270,0,48440,38912,2624,20992,12270,12270
split_25_qconv_2,         11216440000,87871,79872,49022,12334,0,49022,38912,2624,20992,12334,12334
split_25_qconv_3,         11270720000,88384,80384,49604,12398,0,49604,38912,2624,20992,12398,12398
split_25_qconv_4,         11325000000,88897,80896,50186,12462,0,50186,38912,2624,20992,12462,12462
split_25_qconv_5,         11379280000,89410,81408,50768,12526,0,50768,38912,2624,20992,12526,12526
split_25_qconv_6,         11433560000,89923,81920,51350,12590,0,51350,38912,2624,20992,12590,12590
split_25_qconv_7,         11487840000,90436,82432,51932,12654,0,51932,38912,2624,20992,12654,12654
split_25_qconv_8,         11542120000,90949,82944,52514,12718,0,52514,38912,2624,20992,12718,12718
split_25_qconv_9,         11596400000,91462,83456,53096,12782,0,53096,38912,2624,20992,12782,12782
split_25_qconv_10,         11650680000,91975,83968,53678,12846,0,53678,38912,2624,20992,12846,12846
split_25_qconv_11,         11704960000,92488,84480,54260,12910,0,54260,38912,2624,20992,12910,12910
split_26_qconv_0,         12033140000,93001,88576,54788,13038,0,54788,40960,2688,21504,13038,13038
split_26_qconv_1,         12340760000,94026,90624,55060,13166,0,55060,43008,2752,22016,13166,13166
split_27_qconv_0,         12627980000,95051,91648,55210,13678,0,55210,45056,2816,22528,13678,13678
