Test,Output,Nominal,Spec,Weight,Pass/Fail
seq_acc,/u_ts_qracc/U_ADC_COLUMN<0>/MBL,,,,
seq_acc,/u_ts_qracc/U_ADC_COLUMN<0>/BLB,,,,
seq_acc,/u_ts_qracc/U_ADC_COLUMN<0>/MWLB<127:0>,,,,
seq_acc,/u_ts_qracc/U_ADC_COLUMN<0>/MWL<127:0>,,,,
seq_acc,/u_ts_qracc/ADC_REFL,,,,
seq_acc,/u_ts_qracc/ADC_REFH,,,,
seq_acc,/u_ts_qracc/VREF<14:0>,,,,
seq_acc,VDD_I,,,,
seq_acc,VDR_I,,,,
seq_acc,VRST_I,,,,
seq_acc,P_VRST,,,,
seq_acc,P_VDR,,,,
seq_acc,P_VDD,,,,
seq_acc,E_VDD,-84.28e-12,,,
seq_acc,E_VRST,24.63e-12,,,
seq_acc,E_VDR,-114.9e-12,,,
seq_acc,tb_qracc.u_qr_acc_wrapper.adc_out_o[0] (),eval err,,,
seq_acc,TOPS,409.6e9,,,
seq_acc,P_AVG_NOREF,793.6e-6,,,
seq_acc,TOPS/W_NOREF,516.1e12,,,

